date,county,fips,place,confirmed_cases,x,y,region
6/14/20,Los Angeles,37,Acton,19,-118.216138,34.481366,CA
6/14/20,Los Angeles,37,Adams-Normandie,71,-118.302397,34.029122,CA
6/14/20,Los Angeles,37,Agoura Hills,38,-118.760876,34.151007,CA
6/14/20,Los Angeles,37,Agua Dulce,9,-118.32381,34.497963,CA
6/14/20,Los Angeles,37,Alhambra,286,-118.135504,34.083961,CA
6/14/20,Los Angeles,37,Alsace,80,-118.362349,34.029571,CA
6/14/20,Los Angeles,37,Altadena,181,-118.135675,34.193482,CA
6/14/20,Los Angeles,37,Anaverde,2,-118.133856,34.535644,CA
6/14/20,Los Angeles,37,Angeles National Forest,1,-118.279007,34.275218,CA
6/14/20,Los Angeles,37,Angelino Heights,21,-118.251986,34.068331,CA
6/14/20,Los Angeles,37,Arcadia,106,-118.037297,34.134186,CA
6/14/20,Los Angeles,37,Arleta,339,-118.431775,34.241478,CA
6/14/20,Los Angeles,37,Artesia,59,-118.08063,33.867577,CA
6/14/20,Los Angeles,37,Athens Village,48,-118.273697,33.919783,CA
6/14/20,Los Angeles,37,Athens-Westmont,315,-118.302483,33.934033,CA
6/14/20,Los Angeles,37,Atwater Village,56,-118.258308,34.119421,CA
6/14/20,Los Angeles,37,Avocado Heights,42,-117.990979,34.040819,CA
6/14/20,Los Angeles,37,Azusa,273,-117.912351,34.138622,CA
6/14/20,Los Angeles,37,Baldwin Hills,206,-118.356095,34.014825,CA
6/14/20,Los Angeles,37,Baldwin Park,494,-117.972142,34.082841,CA
6/14/20,Los Angeles,37,Bassett,154,-117.977406,34.057144,CA
6/14/20,Los Angeles,37,Bel Air,39,-118.460296,34.098692,CA
6/14/20,Los Angeles,37,Bell,486,-118.179783,33.980058,CA
6/14/20,Los Angeles,37,Bell Gardens,448,-118.155014,33.966323,CA
6/14/20,Los Angeles,37,Bellflower,554,-118.127136,33.888021,CA
6/14/20,Los Angeles,37,Beverly Crest,41,-118.424404,34.11298,CA
6/14/20,Los Angeles,37,Beverly Hills,169,-118.402109,34.078543,CA
6/14/20,Los Angeles,37,Beverlywood,43,-118.394492,34.044747,CA
6/14/20,Los Angeles,37,Bouquet Canyon,1,-118.363392,34.595497,CA
6/14/20,Los Angeles,37,Boyle Heights,1153,-118.20533,34.03815,CA
6/14/20,Los Angeles,37,Bradbury,4,-117.968387,34.153532,CA
6/14/20,Los Angeles,37,Brentwood,90,-118.485909,34.08524,CA
6/14/20,Los Angeles,37,Brookside,1,-118.336327,34.058936,CA
6/14/20,Los Angeles,37,Burbank,443,-118.323487,34.1879,CA
6/14/20,Los Angeles,37,Cadillac-Corning,36,-118.381794,34.042513,CA
6/14/20,Los Angeles,37,Calabasas,99,-118.668881,34.13747,CA
6/14/20,Los Angeles,37,Canoga Park,616,-118.600829,34.208098,CA
6/14/20,Los Angeles,37,Canyon Country,39,-118.434197,34.454977,CA
6/14/20,Los Angeles,37,Carson,534,-118.255878,33.837391,CA
6/14/20,Los Angeles,37,Carthay,93,-118.372894,34.07124,CA
6/14/20,Los Angeles,37,Castaic,1719,-118.628355,34.610162,CA
6/14/20,Los Angeles,37,Central,643,-118.258141,34.016399,CA
6/14/20,Los Angeles,37,Century City,41,-118.419399,34.052715,CA
6/14/20,Los Angeles,37,Century Palms/Cove,421,-118.267985,33.932641,CA
6/14/20,Los Angeles,37,Cerritos,153,-118.068587,33.867752,CA
6/14/20,Los Angeles,37,Chatsworth,231,-118.596089,34.256617,CA
6/14/20,Los Angeles,37,Cheviot Hills,22,-118.408801,34.041277,CA
6/14/20,Los Angeles,37,Chinatown,29,-118.240969,34.06146,CA
6/14/20,Los Angeles,37,Claremont,72,-117.715319,34.125904,CA
6/14/20,Los Angeles,37,Cloverdale/Cochran,97,-118.356007,34.038941,CA
6/14/20,Los Angeles,37,Commerce,124,-118.151914,33.996345,CA
6/14/20,Los Angeles,37,Compton,935,-118.22753,33.892938,CA
6/14/20,Los Angeles,37,Country Club Park,117,-118.325579,34.054301,CA
6/14/20,Los Angeles,37,Covina,248,-117.881821,34.090264,CA
6/14/20,Los Angeles,37,Covina (Charter Oak),62,-117.865044,34.100802,CA
6/14/20,Los Angeles,37,Crenshaw District,95,-118.335877,34.023057,CA
6/14/20,Los Angeles,37,Crestview,98,-118.378658,34.049595,CA
6/14/20,Los Angeles,37,Cudahy,344,-118.183118,33.963116,CA
6/14/20,Los Angeles,37,Culver City,175,-118.396806,34.005798,CA
6/14/20,Los Angeles,37,Del Aire,18,-118.372296,33.922831,CA
6/14/20,Los Angeles,37,Del Rey,96,-118.424311,33.989764,CA
6/14/20,Los Angeles,37,Del Sur,2,-118.284121,34.764411,CA
6/14/20,Los Angeles,37,Desert View Highlands,6,-118.153557,34.590253,CA
