neighborhood,Latitude,Longitude
acton,34.481365999999994,-118.21613799999999
adams normandie,34.029121999999994,-118.302397
agoura hills,34.151007,-118.760876
agua dulce,34.497963,-118.32381000000001
alhambra,34.083960999999995,-118.135504
altadena,34.193482,-118.135675
arcadia,34.134186,-118.037297
arleta,34.241478,-118.431775
artesia,33.867577000000004,-118.08063
athens,33.92348,-118.303
atwater village,34.119421,-118.25830800000001
avocado heights,34.040819,-117.99097900000001
azusa,34.138622,-117.912351
baldwin park,34.082840999999995,-117.97214199999999
bel air,34.098692,-118.460296
bell,33.980058,-118.179783
bell gardens,33.966322999999996,-118.155014
bellflower,33.888021,-118.12713600000001
beverly crest,34.11298,-118.42440400000001
beverly hills,34.078542999999996,-118.40210900000001
beverlywood,34.044746999999994,-118.394492
boyle heights,34.03815,-118.20533
bradbury,34.153532,-117.968387
brentwood,34.08524,-118.485909
burbank,34.1879,-118.32348700000001
calabasas,34.13747,-118.668881
canoga park,34.208098,-118.600829
carson,33.837391,-118.25587800000001
carthay,34.07124,-118.37289399999999
castaic,34.610162,-118.628355
century city,34.052715,-118.419399
cerritos,33.867752,-118.06858700000001
chatsworth,34.256617,-118.59608899999999
cheviot hills,34.041277,-118.408801
chinatown,34.06146,-118.24096899999999
claremont,34.125904,-117.715319
commerce,33.996345,-118.15191399999999
compton,33.892938,-118.22753
covina,34.090264000000005,-117.881821
cudahy,33.963116,-118.183118
culver city,34.005798,-118.39680600000001
del aire,33.922831,-118.37229599999999
del rey,33.989764,-118.42431100000002
desert view highlands,34.590253000000004,-118.153557
diamond bar,33.999164,-117.81613
downey,33.937862,-118.131148
downtown,34.044724,-118.25780300000001
duarte,34.160940000000004,-117.95053100000001
eagle rock,34.135207,-118.20520900000001
east hollywood,34.09217,-118.292538
east la mirada,33.922235,-117.984485
east los angeles,34.032672999999996,-118.16918899999999
east pasadena,34.161732,-118.082551
echo park,34.082177,-118.25500100000001
el monte,34.073948,-118.029074
el segundo,33.916897999999996,-118.402004
el sereno,34.081112,-118.17751499999999
elizabeth lake,34.674457000000004,-118.386954
elysian park,34.078256,-118.240334
elysian valley,34.092694,-118.237642
encino,34.155925,-118.501697
exposition park,34.018599,-118.297919
florence,33.974540000000005,-118.26899999999999
florence firestone,33.974897,-118.267376
gardena,33.894352000000005,-118.307231
glassell park,34.118241999999995,-118.231508
glendale,34.181933,-118.246803
glendora,34.144935,-117.846736
granada hills,34.291056,-118.504152
green meadows,33.950734000000004,-118.263144
hacienda heights,34.000107,-117.978311
hancock park,34.069715,-118.32887
harbor city,33.781993,-118.29638600000001
harbor gateway,33.866487,-118.29466000000001
harvard heights,34.043582,-118.304644
harvard park,33.981859,-118.29801599999999
hawaiian gardens,33.830337,-118.072804
hawthorne,33.914649,-118.34769399999999
hermosa beach,33.865241,-118.39643500000001
hidden hills,34.163748999999996,-118.661203
highland park,34.112134000000005,-118.187118
hollywood,34.100299,-118.35386000000001
hollywood hills,34.120515999999995,-118.34636499999999
huntington park,33.979987,-118.216706
hyde park,33.983083,-118.328048
industry,34.017494,-117.92675600000001
inglewood,33.956528999999996,-118.344474
irwindale,34.112113,-117.963631
jefferson park,34.02425,-118.322769
koreatown,34.054588,-118.304346
la canada flintridge,34.209689000000004,-118.200156
la crescenta montrose,34.232152,-118.235266
la habra heights,33.96025,-117.950975
la mirada,33.90251,-118.00932
la puente,34.032209,-117.95333799999999
la verne,34.120692,-117.770312
ladera heights,33.997128000000004,-118.37406200000001
lake balboa,34.198949,-118.49822900000001
lake hughes,34.661878,-118.429088
lake los angeles,34.620978,-117.87071
lakewood,33.84707,-118.122171
lancaster,34.693444,-118.175352
lawndale,33.888463,-118.35315600000001
leimert park,34.006034,-118.32453000000001
lennox,33.938019,-118.35860100000001
leona valley,34.62562,-118.306794
lincoln heights,34.081157,-118.20536399999999
littlerock,34.531079,-117.97807
lomita,33.793312,-118.317456
long beach,33.805559,-118.161014
los feliz,34.131749,-118.299672
lynwood,33.923953999999995,-118.201664
malibu,34.036840000000005,-118.784201
manchester square,33.967273,-118.311191
manhattan beach,33.889428,-118.39705900000001
mar vista,34.013245,-118.436957
marina del rey,33.976535,-118.447659
maywood,33.98852,-118.18766200000002
mid city,34.049526,-118.353944
mission hills,34.266942,-118.457528
monrovia,34.165036,-117.992121
montebello,34.015436,-118.11079699999999
monterey park,34.049708,-118.13253
north hills,34.238739,-118.478218
north hollywood,34.190006,-118.39076899999999
north whittier,34.03608,-118.006976
northridge,34.237368,-118.52853
norwalk,33.90687,-118.082884
pacific palisades,34.046284,-118.531425
pacoima,34.265724,-118.41676799999999
palmdale,34.594429,-118.10568500000001
palms,34.023755,-118.412847
palos verdes estates,33.787212,-118.397292
panorama city,34.224297,-118.444601
paramount,33.89765,-118.165144
pasadena,34.159752000000005,-118.138912
pico rivera,33.990124,-118.08873500000001
pico union,34.045761999999996,-118.280491
playa del rey,33.961018,-118.44636799999999
playa vista,33.979496000000005,-118.414497
pomona,34.058481,-117.762596
porter ranch,34.279694,-118.557024
quartz hill,34.652440000000006,-118.218626
rancho dominguez,33.858301000000004,-118.218433
rancho palos verdes,33.75538,-118.363522
rancho park,34.036458,-118.42911399999998
redondo beach,33.857406,-118.37665600000001
